code,price,basis,note
MOB_5Ex89_RO,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex90_AR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex91_JP,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex92_SK,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex93_SE,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex94_TR,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Ex95_UY,0,0 EUR,Assumption: exchange agreements typically waive host tuition; verify partner policy.
MOB_5Mx01_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx02_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx03_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx04_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx05_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx06_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx07_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx08_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx09_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx10_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx11_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx12_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx13_CH,3228,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx14_CH,3228,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx15_CH,3228,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx16_CH,3228,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx17_CH,3228,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx18_US,5529,"~$6,500","Georgia Tech OMSCS bursar pdf shows $195 per credit hour + $107 tech fee per semester; estimated total ~$6,500."
MOB_5Mx19_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx20_KR,15000,Heuristic,Heuristic fallback estimate; verify.
MOB_5Mx21_SE,0,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx23_SE,0,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx25_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx26_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx27_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx28_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx29_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx30_SG,32000,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx31_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx32_GB,50195,"£43,730","Oxford MSc Advanced Computer Science 2026/27 overseas fee £43,730 (used as estimate)."
MOB_5Mx33_GB,50195,"£43,730","Oxford MSc Advanced Computer Science 2026/27 overseas fee £43,730 (used as estimate)."
MOB_5Mx34_GB,50195,"£43,730","Oxford MSc Advanced Computer Science 2026/27 overseas fee £43,730 (used as estimate)."
MOB_5Mx36_GB,45914,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx37_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx38_DE,40174,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx39_NL,22000,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx40_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx41_GB,49013,"£42,700","UCL Information Security MSc page lists international tuition £42,700 for 2026/27 (used as estimate)."
MOB_5Mx42_GB,49013,"£42,700","UCL Information Security MSc page lists international tuition £42,700 for 2026/27 (used as estimate)."
MOB_5Mx43_GB,49013,"£42,700","UCL Information Security MSc page lists international tuition £42,700 for 2026/27 (used as estimate)."
MOB_5Mx45_CH,3228,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx46_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx47_CH,3228,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx48_CA,15000,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx49_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
MOB_5Mx50_US,51033,Heuristic,Heuristic estimate by country typical tuition; verify on program page.
