code,estimated_price,estimation_basis,source_urls,notes
MOB_5Ex06_LB,15000,supposition,,
MOB_5Ex07_IT,2500,supposition,,
MOB_5Ex08_DK,15000,supposition,,
MOB_5Ex09_EE,15000,supposition,,
MOB_5Ex10_CN,6000,supposition,,
MOB_5Ex11_FI,15000,supposition,,
MOB_5Ex12_TR,15000,supposition,,
MOB_5Ex13_BE,15000,supposition,,
MOB_5Ex14_CA,20000,supposition,,
MOB_5Ex15_CH,15000,supposition,,
MOB_5Ex16_CA,20000,supposition,,
MOB_5Ex17_VT,0,supposition,,
MOB_5Ex18_GB,15000,supposition,,
MOB_5Ex19_IT,2500,supposition,,
MOB_5Ex20_AR,15000,supposition,,
MOB_5Ex22_KR,15000,supposition,,
MOB_5Ex23_SE,0,supposition,,
MOB_5Ex24_JP,15000,supposition,,
MOB_5Ex25_NO,15000,supposition,,
MOB_5Ex26_TW,15000,supposition,,
MOB_5Ex27_SG,30000,supposition,,
MOB_5Ex28_IT,2500,supposition,,
MOB_5Ex29_IT,2500,supposition,,
MOB_5Ex30_BR,0,supposition,,
MOB_5Ex31_KR,15000,supposition,,
MOB_5Ex32_IT,2500,supposition,,
MOB_5Ex33_CN,6000,supposition,,
MOB_5Ex34_MX,15000,supposition,,
MOB_5Ex35_DE,1000,supposition,,
MOB_5Ex36_DE,1000,supposition,,
MOB_5Ex37_DE,1000,supposition,,
MOB_5Ex38_DE,1000,supposition,,
MOB_5Ex39_AT,15000,supposition,,
MOB_5Ex40_AU,15000,supposition,,
MOB_5Ex41_AR,15000,supposition,,
MOB_5Ex43_BR,0,supposition,,
MOB_5Ex44_CO,4000,supposition,,
MOB_5Ex45_CO,4000,supposition,,
MOB_5Ex46_ES,3000,supposition,,
MOB_5Ex47_HR,15000,supposition,,
MOB_5Ex48_DE,1000,supposition,,
MOB_5Ex49_ES,3000,supposition,,
MOB_5Ex50_ES,3000,supposition,,
MOB_5Ex51_IT,2500,supposition,,
MOB_5Ex52_ES,3000,supposition,,
MOB_5Ex53_PL,15000,supposition,,
MOB_5Ex54_IT,2500,supposition,,
MOB_5Ex55_IT,2500,supposition,,
MOB_5Ex56_PL,15000,supposition,,
MOB_5Ex57_PL,15000,supposition,,
MOB_5Ex59_PT,15000,supposition,,
MOB_5Ex60_DE,1000,supposition,,
MOB_5Ex61_FN,15000,supposition,,
MOB_5Ex62_CZ,15000,supposition,,
MOB_5Ex63_GR,15000,supposition,,
MOB_5Ex64_CO,4000,supposition,,
MOB_5Ex65_CL,15000,supposition,,
MOB_5Ex66_UY,0,supposition,,
MOB_5Ex67_BR,0,supposition,,
MOB_5Ex68_BR,0,supposition,,
MOB_5Ex69_BR,0,supposition,,
MOB_5Ex70_BR,0,supposition,,
MOB_5Ex71_BR,0,supposition,,
MOB_5Ex72_BR,0,supposition,,
MOB_5Ex73_BR,0,supposition,,
MOB_5Ex74_PE,15000,supposition,,
MOB_5Ex75_BR,0,supposition,,
MOB_5Ex76_BR,0,supposition,,
MOB_5Ex77_BR,0,supposition,,
MOB_5Ex85_IT,2500,supposition,,
MOB_5Ex86_CN,6000,supposition,,
MOB_5Ex87_TW,15000,supposition,,
MOB_5Ex88_IN,15000,supposition,,
MOB_5Ex89_RO,15000,supposition,,
MOB_5Ex90_AR,15000,supposition,,
MOB_5Ex91_JP,15000,supposition,,
MOB_5Ex92_SK,15000,supposition,,
MOB_5Ex93_SE,0,supposition,,
MOB_5Ex94_TR,15000,supposition,,
MOB_5Ex95_UY,0,supposition,,
MOB_5Ex96_CN,6000,supposition,,
MOB_5Mx00_ET,15000,supposition,,
MOB_5Mx01_US,55000,supposition,,
MOB_5Mx02_GB,15000,supposition,,
MOB_5Mx03_US,55000,supposition,,
MOB_5Mx04_US,55000,supposition,,
MOB_5Mx06_US,55000,supposition,,
MOB_5Mx07_US,55000,supposition,,
MOB_5Mx09_US,55000,supposition,,
MOB_5Mx10_US,55000,supposition,,
MOB_5Mx11_GB,15000,supposition,,
MOB_5Mx12_GB,15000,supposition,,
MOB_5Mx13_CH,15000,supposition,,
MOB_5Mx14_CH,15000,supposition,,
MOB_5Mx15_CH,15000,supposition,,
MOB_5Mx17_CH,15000,supposition,,
MOB_5Mx18_US,55000,supposition,,
MOB_5Mx19_GB,15000,supposition,,
MOB_5Mx20_KR,15000,supposition,,
MOB_5Mx21_SE,0,supposition,,
MOB_5Mx23_SE,0,supposition,,
MOB_5Mx25_GB,15000,supposition,,
MOB_5Mx26_GB,15000,supposition,,
MOB_5Mx27_GB,15000,supposition,,
MOB_5Mx28_US,55000,supposition,,
MOB_5Mx29_US,55000,supposition,,
MOB_5Mx30_SG,30000,supposition,,
MOB_5Mx31_US,55000,supposition,,
MOB_5Mx32_GB,15000,supposition,,
MOB_5Mx33_GB,15000,supposition,,
MOB_5Mx34_GB,15000,supposition,,
MOB_5Mx36_GB,15000,supposition,,
MOB_5Mx37_US,55000,supposition,,
MOB_5Mx38_IE,15000,supposition,,
MOB_5Mx39_NL,15000,supposition,,
MOB_5Mx40_US,55000,supposition,,
MOB_5Mx41_GB,15000,supposition,,
MOB_5Mx42_GB,15000,supposition,,
MOB_5Mx43_GB,15000,supposition,,
MOB_5Mx44_ET,15000,supposition,,
MOB_5Mx45_CH,15000,supposition,,
MOB_5Mx47_CH,15000,supposition,,
MOB_5Mx48_CA,20000,supposition,,
MOB_5Mx49_US,55000,supposition,,
MOB_5Mx50_US,55000,supposition,,
