code,related_filieres,mapping_basis
MOB_5Ex11_FI,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex12_TR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex13_BE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex14_CA,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex15_CH,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex16_CA,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex17_VT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex18_GB,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex19_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex20_AR,IGR;IMA,heuristic_from_title
MOB_5Ex22_KR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex23_SE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex24_JP,IGR;IMA,heuristic_from_title
MOB_5Ex25_NO,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex26_TW,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex27_SG,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex28_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex29_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex30_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex31_KR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex32_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex33_CN,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex34_MX,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex35_DE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex36_DE,IGR;IMA,heuristic_from_title
MOB_5Ex37_DE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex38_DE,IGR;IMA,heuristic_from_title
MOB_5Ex39_AT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex40_AU,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex41_AR,IGR;IMA,heuristic_from_title
MOB_5Ex43_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex44_CO,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex45_CO,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex46_ES,IGR;IMA,heuristic_from_title
MOB_5Ex47_HR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex48_DE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex49_ES,IGR;IMA,heuristic_from_title
MOB_5Ex50_ES,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex51_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex52_ES,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex53_PL,IGR;IMA,heuristic_from_title
MOB_5Ex54_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex55_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex56_PL,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex57_PL,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex59_PT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex60_DE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex61_FN,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex62_CZ,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex63_GR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex64_CO,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex65_CL,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex66_UY,IGR;IMA,heuristic_from_title
MOB_5Ex67_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex68_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex69_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex70_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex71_BR,IGR;IMA,heuristic_from_title
MOB_5Ex72_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex73_BR,ACCQ;MACS;MITRO,heuristic_from_title
MOB_5Ex74_PE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex75_BR,GIN;IGR;SE,heuristic_from_title
MOB_5Ex76_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex77_BR,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex85_IT,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex86_CN,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex87_TW,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex88_IN,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex89_RO,IGR;IMA,heuristic_from_title
MOB_5Ex90_AR,IGR;IMA,heuristic_from_title
MOB_5Ex91_JP,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex92_SK,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex93_SE,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex94_TR,IGR;IMA,heuristic_from_title
MOB_5Ex95_UY,GIN;SLR;MITRO;RIO,supposition
MOB_5Ex96_CN,GIN;SLR;MITRO;RIO,supposition
MOB_5Mx00_ET,,
MOB_5Mx01_US,IGR;IMA,heuristic_from_title
MOB_5Mx02_GB,ACCQ;IGR;IMA;MACS;MITRO,heuristic_from_title
MOB_5Mx03_US,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx04_US,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx06_US,DSAI;MACS;MITRO;ACCQ;IGR;IMA;SLR,heuristic_from_title
MOB_5Mx07_US,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx09_US,IGR;IMA,heuristic_from_title
MOB_5Mx10_US,IGR;IMA,heuristic_from_title
MOB_5Mx11_GB,IGR;IMA,heuristic_from_title
MOB_5Mx12_GB,GIN;RIO;SPAI;TELECOM;IGR;IMA;MITRO,heuristic_from_title
MOB_5Mx13_CH,IGR;IMA,heuristic_from_title
MOB_5Mx14_CH,CYBER;DSAI;MITRO;SLR;IGR;IMA,heuristic_from_title
MOB_5Mx15_CH,CYBER;DSAI;MITRO;SLR;IGR;IMA,heuristic_from_title
MOB_5Mx17_CH,DSAI;MACS;SPAI;IGR;IMA;MITRO;SLR,heuristic_from_title
MOB_5Mx18_US,CYBER;DSAI;MITRO;SLR;IGR;IMA,heuristic_from_title
MOB_5Mx19_GB,IGR;IMA,heuristic_from_title
MOB_5Mx20_KR,IGR;IMA,heuristic_from_title
MOB_5Mx21_SE,ACCQ;IGR;IMA;MACS;MITRO,heuristic_from_title
MOB_5Mx23_SE,GIN;RIO;TELECOM;IGR;IMA;MITRO,heuristic_from_title
MOB_5Mx25_GB,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx26_GB,ACCQ;IGR;IMA;MACS;MITRO;MODS,heuristic_from_title
MOB_5Mx27_GB,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx28_US,CYBER;DSAI;MITRO;RIO;SLR;SPAI,heuristic_from_title
MOB_5Mx29_US,ACCQ;IGR;IMA;MACS;MITRO;MODS,heuristic_from_title
MOB_5Mx30_SG,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx31_US,DSAI;MACS;MITRO;IGR;IMA;SLR,heuristic_from_title
MOB_5Mx32_GB,CYBER;DSAI;MITRO;SLR;IGR;IMA,heuristic_from_title
MOB_5Mx33_GB,ACCQ;IGR;IMA;MACS;MITRO,heuristic_from_title
MOB_5Mx34_GB,ACCQ;IGR;IMA;MACS;MITRO,heuristic_from_title
MOB_5Mx36_GB,CYBER;DSAI;MITRO;SLR;IGR;IMA,heuristic_from_title
MOB_5Mx37_US,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx38_IE,IGR;IMA,heuristic_from_title
MOB_5Mx39_NL,CYBER;DSAI;MITRO;SLR;IGR;IMA,heuristic_from_title
MOB_5Mx40_US,IGR;IMA,heuristic_from_title
MOB_5Mx41_GB,DSAI;IMA;SPAI;IGR;MITRO;SLR,heuristic_from_title
MOB_5Mx42_GB,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx43_GB,CYBER;SLR;IGR;IMA;MITRO,heuristic_from_title
MOB_5Mx44_ET,,
MOB_5Mx45_CH,IGR;IMA;MITRO;MODS,heuristic_from_title
MOB_5Mx47_CH,RIO;SPAI;TELECOM;IGR;IMA;MITRO,heuristic_from_title
MOB_5Mx48_CA,IGR;IMA,heuristic_from_title
MOB_5Mx49_US,IGR;IMA,heuristic_from_title
MOB_5Mx50_US,IGR;IMA,heuristic_from_title
